normalized-losses,make,bahan-bakar,jumlah-pintu,body-style,wheel-bases,length,width,height,wheel-bases-normalized,length_zscore,width_zscore,height_zscore
115.0,alfa-romero,gas,two,convertible,88.6,168.8,64.1,48.8,0.05830903790087462,-0.42852602329508904,-0.8676295153993735,-2.038094019153904
115.0,alfa-romero,gas,two,convertible,88.6,168.8,64.1,48.8,0.05830903790087462,-0.42852602329508904,-0.8676295153993735,-2.038094019153904
115.0,alfa-romero,gas,two,hatchback,94.5,171.2,65.5,52.4,0.2303206997084549,-0.22696702626572454,-0.2042317428384091,-0.5520351394080704
164.0,audi,gas,four,sedan,99.8,176.6,66.2,54.3,0.38483965014577254,0.22654071705035028,0.12746714344207308,0.23227371379111855
164.0,audi,gas,four,sedan,99.4,176.6,66.4,54.3,0.3731778425655979,0.22654071705035028,0.2222382538079261,0.23227371379111855
115.0,audi,gas,two,sedan,99.8,177.3,66.3,53.1,0.38483965014577254,0.2853287578505836,0.17485269862499622,-0.2630792461241573
158.0,audi,gas,four,sedan,105.8,192.7,71.4,55.7,0.5597667638483964,1.5786656554556826,2.591516012954218,0.8101855003589448
115.0,audi,gas,four,wagon,105.8,173.90253807106598,71.4,55.7,0.5597667638483964,0.0,2.591516012954218,0.8101855003589448
158.0,audi,gas,four,sedan,105.8,192.7,71.4,55.9,0.5597667638483964,1.5786656554556826,2.591516012954218,0.8927443270114892
115.0,audi,gas,two,hatchback,99.5,178.2,67.9,52.0,0.37609329446064144,0.3609133817365941,0.9330215815518137,-0.7171527927131623
192.0,bmw,gas,two,sedan,101.2,176.8,64.8,54.3,0.42565597667638494,0.24333730013613225,-0.5359306291188913,0.23227371379111855
192.0,bmw,gas,four,sedan,101.2,176.8,64.8,54.3,0.42565597667638494,0.24333730013613225,-0.5359306291188913,0.23227371379111855
188.0,bmw,gas,two,sedan,101.2,176.8,64.8,54.3,0.42565597667638494,0.24333730013613225,-0.5359306291188913,0.23227371379111855
188.0,bmw,gas,four,sedan,101.2,176.8,64.8,54.3,0.42565597667638494,0.24333730013613225,-0.5359306291188913,0.23227371379111855
115.0,bmw,gas,four,sedan,103.5,189.0,66.9,55.7,0.49271137026239065,1.2679288683687437,0.45916602972255527,0.8101855003589448
115.0,bmw,gas,four,sedan,103.5,189.0,66.9,55.7,0.49271137026239065,1.2679288683687437,0.45916602972255527,0.8101855003589448
115.0,bmw,gas,two,sedan,103.5,193.8,67.9,53.7,0.49271137026239065,1.6710468624274775,0.9330215815518137,-0.015402766166517898
115.0,bmw,gas,four,sedan,110.0,173.90253807106598,70.9,56.3,0.6822157434402332,0.0,2.354588237039589,1.0578619803165812
121.0,chevrolet,gas,two,hatchback,88.4,141.1,60.3,53.2,0.052478134110787486,-2.7548527806756944,-2.668280612350554,-0.22179983279788357
98.0,chevrolet,gas,two,hatchback,94.5,155.9,63.6,52.0,0.2303206997084549,-1.5119056323279338,-1.1045572913139994,-0.7171527927131623
81.0,chevrolet,gas,four,sedan,94.5,158.8,63.6,52.0,0.2303206997084549,-1.2683551775841155,-1.1045572913139994,-0.7171527927131623
118.0,dodge,gas,two,hatchback,93.7,157.3,63.8,50.8,0.20699708454810514,-1.3943295507274696,-1.0097861809481496,-1.212505752628441
118.0,dodge,gas,two,hatchback,93.7,157.3,63.8,50.8,0.20699708454810514,-1.3943295507274696,-1.0097861809481496,-1.212505752628441
118.0,dodge,gas,two,hatchback,93.7,157.3,63.8,50.8,0.20699708454810514,-1.3943295507274696,-1.0097861809481496,-1.212505752628441
148.0,dodge,gas,four,hatchback,93.7,157.3,63.8,50.6,0.20699708454810514,-1.3943295507274696,-1.0097861809481496,-1.2950645792809856
148.0,dodge,gas,four,sedan,93.7,157.3,63.8,50.6,0.20699708454810514,-1.3943295507274696,-1.0097861809481496,-1.2950645792809856
148.0,dodge,gas,four,sedan,93.7,157.3,63.8,50.6,0.20699708454810514,-1.3943295507274696,-1.0097861809481496,-1.2950645792809856
148.0,dodge,gas,unknown,sedan,93.7,157.3,63.8,50.6,0.20699708454810514,-1.3943295507274696,-1.0097861809481496,-1.2950645792809856
110.0,dodge,gas,four,wagon,103.3,174.6,64.6,59.8,0.48688046647230315,0.05857488619254497,-0.6307017394847444,2.5026414467361406
145.0,dodge,gas,two,hatchback,95.9,173.2,66.3,50.2,0.2711370262390673,-0.05900119540791923,0.17485269862499622,-1.4601822325860776
137.0,honda,gas,two,hatchback,86.6,144.6,63.9,50.8,0.0,-2.460912576674535,-0.9624006257652232,-1.212505752628441
137.0,honda,gas,two,hatchback,86.6,144.6,63.9,53.737313432835826,0.0,-2.460912576674535,-0.9624006257652232,2.933078727542205e-15
101.0,honda,gas,two,hatchback,93.7,150.0,64.0,52.6,0.20699708454810514,-2.00740483335846,-0.9150150705822967,-0.46947631275552293
101.0,honda,gas,two,hatchback,93.7,150.0,64.0,52.6,0.20699708454810514,-2.00740483335846,-0.9150150705822967,-0.46947631275552293
101.0,honda,gas,two,hatchback,93.7,150.0,64.0,52.6,0.20699708454810514,-2.00740483335846,-0.9150150705822967,-0.46947631275552293
110.0,honda,gas,four,sedan,96.5,163.4,64.0,54.5,0.28862973760932953,-0.8820337666111638,-0.9150150705822967,0.314832540443666
78.0,honda,gas,four,wagon,96.5,157.1,63.9,58.3,0.28862973760932953,-1.4111261338132517,-0.9624006257652232,1.8834502468420438
106.0,honda,gas,two,hatchback,96.5,167.5,65.2,53.3,0.28862973760932953,-0.5377038133526635,-0.34638840838718526,-0.18052041947161276
106.0,honda,gas,two,hatchback,96.5,167.5,65.2,53.3,0.28862973760932953,-0.5377038133526635,-0.34638840838718526,-0.18052041947161276
85.0,honda,gas,four,sedan,96.5,175.4,65.2,54.1,0.28862973760932953,0.12576121853566805,-0.34638840838718526,0.14971488713857403
85.0,honda,gas,four,sedan,96.5,175.4,62.5,54.1,0.28862973760932953,0.12576121853566805,-1.6257983983261841,0.14971488713857403
85.0,honda,gas,four,sedan,96.5,175.4,65.2,54.1,0.28862973760932953,0.12576121853566805,-0.34638840838718526,0.14971488713857403
107.0,honda,gas,two,sedan,96.5,169.1,66.0,51.0,0.28862973760932953,-0.40333114866641967,0.032696033076220064,-1.1299469259758936
115.0,isuzu,gas,four,sedan,94.3,170.7,65.931,53.737313432835826,0.22448979591836735,-0.26895848398017586,0.0,2.933078727542205e-15
115.0,isuzu,gas,two,sedan,94.5,155.9,63.6,52.0,0.2303206997084549,-1.5119056323279338,-1.1045572913139994,-0.7171527927131623
115.0,isuzu,gas,four,sedan,94.5,155.9,63.6,52.0,0.2303206997084549,-1.5119056323279338,-1.1045572913139994,-0.7171527927131623
115.0,isuzu,gas,two,hatchback,96.0,172.6,65.2,51.4,0.2740524781341109,-0.10939094466526035,-0.34638840838718526,-0.9648292726708017
145.0,jaguar,gas,four,sedan,113.0,199.6,69.6,52.8,0.7696793002915451,2.1581477719151114,1.7385760196615474,-0.38691748610297844
115.0,jaguar,gas,four,sedan,113.0,199.6,69.6,52.8,0.7696793002915451,2.1581477719151114,1.7385760196615474,-0.38691748610297844
115.0,jaguar,gas,two,sedan,102.0,191.7,70.6,47.8,0.4489795918367347,1.49468274002678,2.212431571490806,-2.4508881524166353
104.0,mazda,gas,two,hatchback,93.1,159.1,64.2,54.1,0.1895043731778425,-1.2431603029554463,-0.8202439602164436,0.14971488713857403
104.0,mazda,gas,two,hatchback,93.1,173.90253807106598,64.2,54.1,0.1895043731778425,0.0,-0.8202439602164436,0.14971488713857403
104.0,mazda,gas,two,hatchback,93.1,159.1,64.2,54.1,0.1895043731778425,-1.2431603029554463,-0.8202439602164436,0.14971488713857403
113.0,mazda,gas,four,sedan,93.1,166.8,64.2,54.1,0.1895043731778425,-0.5964918541528943,-0.8202439602164436,0.14971488713857403
113.0,mazda,gas,four,sedan,93.1,166.8,64.2,54.1,0.1895043731778425,-0.5964918541528943,-0.8202439602164436,0.14971488713857403
150.0,mazda,gas,two,hatchback,95.3,169.0,65.7,49.6,0.2536443148688047,-0.41172944020930946,-0.1094606324725561,-1.707858712543717
150.0,mazda,gas,two,hatchback,95.3,169.0,65.7,49.6,0.2536443148688047,-0.41172944020930946,-0.1094606324725561,-1.707858712543717
150.0,mazda,gas,two,hatchback,95.3,169.0,65.7,49.6,0.2536443148688047,-0.41172944020930946,-0.1094606324725561,-1.707858712543717
150.0,mazda,gas,two,hatchback,95.3,169.0,65.7,49.6,0.2536443148688047,-0.41172944020930946,-0.1094606324725561,-1.707858712543717
129.0,mazda,gas,two,hatchback,98.8,177.8,66.5,53.7,0.35568513119533524,0.32732021556503493,0.26962380899084926,-0.015402766166517898
115.0,mazda,gas,four,sedan,98.8,177.8,66.5,55.5,0.35568513119533524,0.32732021556503493,0.26962380899084926,0.7276266737063973
129.0,mazda,gas,two,hatchback,98.8,177.8,65.931,53.7,0.35568513119533524,0.32732021556503493,0.0,-0.015402766166517898
